,free_node_coor_list,14:35:18,21401
485,-22,-29,5
486,-21,-31,6
487,-21,-31,7
488,-21,-30,6
489,-21,-29,6
490,-21,-30,7
491,-21,-29,7
492,-20,-31,4
493,-19,-31,4
494,-20,-31,5
495,-19,-31,5
496,-18,-31,4
497,-17,-31,4
498,-18,-31,5
499,-17,-31,5
500,-20,-30,4
501,-19,-30,4
502,-20,-29,4
503,-19,-29,4
504,-20,-30,5
505,-19,-30,5
506,-20,-29,5
507,-19,-29,5
508,-18,-30,4
509,-17,-30,4
510,-18,-29,4
511,-17,-29,4
512,-18,-30,5
513,-17,-30,5
514,-18,-29,5
515,-17,-29,5
516,-20,-31,6
517,-19,-31,6
518,-20,-31,7
519,-19,-31,7
520,-18,-31,6
521,-17,-31,6
522,-17,-32,7
523,-18,-31,7
524,-17,-31,7
525,-20,-30,6
526,-19,-30,6
527,-20,-29,6
528,-19,-29,6
529,-20,-30,7
530,-19,-30,7
531,-20,-29,7
532,-19,-29,7
533,-18,-30,6
534,-17,-30,6
535,-18,-29,6
536,-17,-29,6
537,-18,-30,7
538,-17,-30,7
539,-18,-29,7
540,-17,-29,7
541,-21,-28,4
542,-21,-27,4
543,-22,-28,5
544,-22,-27,5
545,-21,-27,5
546,-21,-26,4
547,-21,-25,4
548,-22,-26,5
549,-21,-26,5
550,-22,-25,5
551,-21,-25,5
552,-21,-28,6
553,-21,-27,6
554,-21,-28,7
555,-21,-27,7
556,-21,-26,6
557,-21,-25,6
558,-21,-26,7
559,-21,-25,7
560,-20,-28,4
561,-19,-28,4
562,-20,-27,4
563,-19,-27,4
564,-20,-28,5
565,-19,-28,5
566,-20,-27,5
567,-19,-27,5
568,-18,-28,4
569,-17,-28,4
570,-18,-27,4
571,-17,-27,4
572,-18,-28,5
573,-17,-28,5
574,-18,-27,5
575,-17,-27,5
576,-20,-26,4
577,-19,-26,4
578,-20,-25,4
579,-19,-25,4
580,-20,-26,5
581,-19,-26,5
582,-20,-25,5
583,-19,-25,5
584,-18,-26,4
585,-17,-26,4
586,-18,-25,4
587,-17,-25,4
588,-18,-26,5
589,-17,-26,5
590,-18,-25,5
591,-17,-25,5
592,-20,-28,6
593,-19,-28,6
594,-20,-27,6
595,-19,-27,6
596,-20,-28,7
597,-19,-28,7
598,-20,-27,7
599,-19,-27,7
600,-18,-28,6
601,-17,-28,6
602,-18,-27,6
603,-17,-27,6
604,-18,-28,7
605,-17,-28,7
606,-18,-27,7
607,-17,-27,7
608,-20,-26,6
609,-19,-26,6
610,-20,-25,6
611,-19,-25,6
612,-20,-26,7
613,-19,-26,7
614,-20,-25,7
615,-19,-25,7
616,-18,-26,6
617,-17,-26,6
618,-18,-25,6
619,-17,-25,6
620,-18,-26,7
621,-17,-26,7
622,-18,-25,7
623,-17,-25,7
624,-31,-19,0
625,-32,-20,1
626,-31,-20,1
627,-31,-19,1
628,-30,-19,1
629,-29,-19,1
630,-31,-20,2
631,-31,-19,2
632,-31,-20,3
633,-31,-19,3
634,-30,-20,2
635,-30,-19,2
636,-29,-19,2
637,-30,-20,3
638,-29,-20,3
639,-30,-19,3
640,-29,-19,3
641,-31,-18,2
642,-32,-17,2
643,-31,-17,2
644,-31,-18,3
645,-31,-17,3
646,-30,-18,2
647,-29,-18,2
648,-30,-17,2
649,-29,-17,2
650,-30,-18,3
651,-29,-18,3
652,-30,-17,3
653,-29,-17,3
654,-28,-19,1
655,-27,-19,1
656,-26,-19,1
657,-25,-19,1
658,-28,-19,2
659,-27,-19,2
660,-28,-20,3
661,-28,-19,3
662,-27,-19,3
663,-25,-19,2
664,-26,-19,3
665,-25,-19,3
666,-28,-18,2
667,-27,-18,2
668,-28,-17,2
669,-28,-18,3
670,-27,-18,3
671,-28,-17,3
672,-27,-17,3
673,-26,-18,2
674,-25,-18,2
675,-26,-18,3
676,-25,-18,3
677,-26,-17,3
678,-25,-17,3
679,-32,-21,4
680,-31,-21,4
681,-31,-21,5
682,-30,-21,4
683,-29,-21,4
684,-31,-24,6
685,-30,-24,6
686,-29,-24,6
687,-32,-21,6
688,-31,-21,6
689,-30,-21,6
690,-29,-21,6
691,-28,-24,6
692,-27,-23,6
693,-26,-23,6
694,-25,-23,6
695,-28,-21,6
696,-27,-21,6
697,-26,-21,6
698,-25,-21,7
699,-31,-20,4
700,-31,-19,4
701,-31,-20,5
702,-31,-19,5
703,-30,-20,4
704,-29,-20,4
705,-30,-19,4
706,-29,-19,4
707,-30,-20,5
708,-29,-20,5
709,-30,-19,5
710,-29,-19,5
711,-31,-18,4
712,-31,-17,4
713,-31,-18,5
714,-31,-17,5
715,-30,-18,4
716,-29,-18,4
717,-30,-17,4
718,-29,-17,4
719,-30,-18,5
720,-29,-18,5
721,-30,-17,5
722,-29,-17,5
723,-31,-20,6
724,-31,-19,6
725,-31,-19,7
726,-30,-20,6
727,-29,-20,6
728,-30,-19,6
729,-29,-19,6
730,-30,-19,7
731,-29,-19,7
732,-31,-18,6
733,-31,-17,6
734,-31,-18,7
735,-31,-17,7
736,-30,-18,6
737,-29,-18,6
738,-30,-17,6
739,-29,-17,6
740,-30,-18,7
741,-29,-18,7
742,-30,-17,7
743,-29,-17,7
744,-27,-20,4
745,-28,-19,4
746,-27,-19,4
747,-28,-20,5
748,-27,-20,5
749,-28,-19,5
750,-27,-19,5
751,-26,-20,4
752,-25,-20,4
753,-26,-19,4
754,-25,-19,4
755,-26,-20,5
756,-25,-20,5
757,-26,-19,5
758,-25,-19,5
759,-28,-18,4
760,-27,-18,4
761,-28,-17,4
762,-27,-17,4
763,-28,-18,5
764,-27,-18,5
765,-28,-17,5
766,-27,-17,5
767,-26,-18,4
768,-25,-18,4
769,-26,-17,4
770,-25,-17,4
771,-26,-18,5
772,-25,-18,5
773,-26,-17,5
