,free_node_coor_list,21:46:37,28132
789,-29,-19,5
790,-31,-18,4
791,-31,-17,4
792,-31,-18,5
793,-31,-17,5
794,-30,-18,4
795,-29,-18,4
796,-30,-17,4
797,-29,-17,4
798,-30,-18,5
799,-29,-18,5
800,-30,-17,5
801,-29,-17,5
802,-31,-20,6
803,-31,-19,6
804,-31,-20,7
805,-31,-19,7
806,-30,-20,6
807,-29,-20,6
808,-30,-19,6
809,-29,-19,6
810,-30,-20,7
811,-29,-20,7
812,-30,-19,7
813,-29,-19,7
814,-31,-18,6
815,-31,-17,6
816,-31,-18,7
817,-31,-17,7
818,-30,-18,6
819,-29,-18,6
820,-30,-17,6
821,-29,-17,6
822,-30,-18,7
823,-29,-18,7
824,-30,-17,7
825,-29,-17,7
826,-28,-20,4
827,-27,-20,4
828,-28,-19,4
829,-27,-19,4
830,-28,-20,5
831,-27,-20,5
832,-28,-19,5
833,-27,-19,5
834,-26,-20,4
835,-25,-20,4
836,-26,-19,4
837,-25,-19,4
838,-26,-20,5
839,-25,-20,5
840,-26,-19,5
841,-25,-19,5
842,-28,-18,4
843,-27,-18,4
844,-28,-17,4
845,-27,-17,4
846,-28,-18,5
847,-27,-18,5
848,-28,-17,5
849,-27,-17,5
850,-26,-18,4
851,-25,-18,4
852,-26,-17,4
853,-25,-17,4
854,-26,-18,5
855,-25,-18,5
856,-26,-17,5
857,-25,-17,5
858,-28,-20,6
859,-27,-20,6
860,-28,-19,6
861,-27,-19,6
862,-28,-20,7
863,-27,-20,7
864,-28,-19,7
865,-27,-19,7
866,-26,-20,6
867,-25,-20,6
868,-26,-19,6
869,-25,-19,6
870,-26,-20,7
871,-25,-20,7
872,-26,-19,7
873,-25,-19,7
874,-28,-18,6
875,-27,-18,6
876,-28,-17,6
877,-27,-17,6
878,-28,-18,7
879,-27,-18,7
880,-28,-17,7
881,-27,-17,7
882,-26,-18,6
883,-25,-18,6
884,-26,-17,6
885,-25,-17,6
886,-26,-18,7
887,-25,-18,7
888,-26,-17,7
889,-25,-17,7
890,-19,-24,2
891,-19,-23,2
892,-20,-24,3
893,-20,-23,3
894,-18,-24,3
895,-17,-24,3
896,-18,-23,3
897,-20,-22,3
898,-19,-22,3
899,-20,-21,3
900,-19,-21,3
901,-24,-20,2
902,-23,-20,2
903,-24,-19,3
904,-23,-19,3
905,-22,-20,3
906,-21,-20,3
907,-22,-19,3
908,-21,-19,3
909,-24,-18,2
910,-23,-18,2
911,-24,-18,3
912,-23,-18,3
913,-22,-18,2
914,-21,-18,2
915,-22,-18,3
916,-21,-18,3
917,-20,-20,3
918,-19,-20,3
919,-20,-19,3
920,-19,-19,3
921,-18,-20,3
922,-17,-20,3
923,-18,-19,3
924,-20,-18,3
925,-19,-18,3
926,-20,-17,3
927,-19,-17,3
928,-18,-18,3
929,-17,-18,3
930,-24,-23,5
931,-23,-23,5
932,-21,-24,4
933,-21,-23,4
934,-21,-24,5
935,-21,-23,5
936,-21,-22,4
937,-21,-21,4
938,-22,-22,5
939,-21,-22,5
940,-21,-21,5
941,-24,-24,6
942,-23,-23,6
943,-22,-24,6
944,-21,-24,6
945,-22,-23,6
946,-21,-23,6
947,-21,-24,7
948,-21,-23,7
949,-24,-21,6
950,-22,-22,6
951,-21,-22,6
952,-22,-21,6
953,-21,-21,6
954,-21,-22,7
955,-21,-21,7
956,-20,-24,4
957,-19,-24,4
958,-20,-23,4
959,-19,-23,4
960,-20,-24,5
961,-19,-24,5
962,-20,-23,5
963,-19,-23,5
964,-18,-24,4
965,-17,-24,4
966,-18,-23,4
967,-17,-23,4
968,-18,-24,5
969,-17,-24,5
970,-18,-23,5
971,-17,-23,5
972,-20,-22,4
973,-19,-22,4
974,-20,-21,4
975,-19,-21,4
976,-20,-22,5
977,-19,-22,5
978,-20,-21,5
979,-19,-21,5
980,-18,-22,4
981,-17,-22,4
982,-18,-21,4
983,-17,-21,4
984,-18,-22,5
985,-17,-22,5
986,-18,-21,5
987,-17,-21,5
988,-20,-24,6
989,-19,-24,6
990,-20,-23,6
991,-19,-23,6
992,-20,-24,7
993,-19,-24,7
994,-20,-23,7
995,-19,-23,7
996,-18,-24,6
997,-17,-24,6
998,-18,-23,6
999,-17,-23,6
1000,-18,-24,7
1001,-17,-24,7
1002,-18,-23,7
1003,-17,-23,7
1004,-20,-22,6
1005,-19,-22,6
1006,-20,-21,6
1007,-19,-21,6
1008,-20,-22,7
1009,-19,-22,7
1010,-20,-21,7
1011,-19,-21,7
1012,-18,-22,6
1013,-17,-22,6
1014,-18,-21,6
1015,-17,-21,6
1016,-18,-22,7
1017,-17,-22,7
1018,-18,-21,7
1019,-17,-21,7
1020,-24,-20,4
1021,-23,-20,4
1022,-24,-19,4
1023,-23,-19,4
1024,-24,-20,5
1025,-23,-20,5
1026,-24,-19,5
1027,-23,-19,5
1028,-22,-20,4
1029,-21,-20,4
1030,-22,-19,4
1031,-21,-19,4
1032,-21,-20,5
1033,-22,-19,5
1034,-21,-19,5
1035,-24,-18,4
1036,-23,-18,4
1037,-24,-17,4
1038,-23,-17,4
1039,-24,-18,5
1040,-23,-18,5
1041,-24,-17,5
1042,-23,-17,5
1043,-22,-18,4
1044,-21,-18,4
1045,-22,-17,4
1046,-21,-17,4
1047,-22,-18,5
1048,-21,-18,5
1049,-22,-17,5
1050,-21,-17,5
1051,-24,-20,6
1052,-23,-20,6
1053,-24,-19,6
1054,-23,-19,6
1055,-24,-20,7
1056,-23,-20,7
1057,-24,-19,7
1058,-23,-19,7
1059,-22,-20,6
1060,-21,-20,6
1061,-22,-19,6
1062,-21,-19,6
1063,-22,-20,7
1064,-21,-20,7
1065,-22,-19,7
1066,-21,-19,7
1067,-24,-18,6
1068,-23,-18,6
1069,-24,-17,6
1070,-23,-17,6
1071,-24,-18,7
1072,-23,-18,7
1073,-24,-17,7
1074,-23,-17,7
1075,-22,-18,6
1076,-21,-18,6
1077,-22,-17,6
1078,-21,-17,6
1079,-22,-18,7
1080,-21,-18,7
1081,-22,-17,7
1082,-21,-17,7
1083,-20,-20,4
1084,-19,-20,4
1085,-20,-19,4
1086,-19,-19,4
1087,-20,-20,5
1088,-19,-20,5
1089,-20,-19,5
1090,-19,-19,5
1091,-18,-20,4
1092,-18,-19,4
