,start_points,14:36:13,5212
957,55,75,30
958,55,75,30
959,55,75,30
960,53,76,31
961,53,76,31
962,53,76,31
963,53,76,31
964,51,76,30
965,51,76,30
966,51,76,30
967,51,76,30
968,46,77,30
969,46,77,30
970,46,77,30
971,46,77,30
972,45,75,28
973,45,75,28
974,45,75,28
975,45,75,28
976,43,73,27
977,43,73,27
978,43,73,27
979,43,73,27
980,43,74,29
981,43,74,29
982,43,74,29
983,43,74,29
984,43,76,31
985,43,76,31
986,43,76,31
987,43,76,31
988,42,76,32
989,42,76,32
990,42,76,32
991,42,76,32
992,39,75,30
993,39,75,30
994,39,75,30
995,39,75,30
996,39,77,30
997,39,77,30
998,39,77,30
999,39,77,30
1000,38,78,30
1001,38,78,30
1002,38,78,30
1003,38,78,30
1004,36,78,30
1005,36,78,30
1006,36,78,30
1007,36,78,30
1008,35,78,30
1009,35,78,30
1010,35,78,30
1011,35,78,30
1012,32,77,30
1013,32,77,30
1014,32,77,30
1015,32,77,30
1016,30,75,29
1017,30,75,29
1018,30,75,29
1019,30,75,29
1020,27,74,29
1021,27,74,29
1022,27,74,29
1023,27,74,29
1024,24,73,28
1025,24,73,28
1026,24,73,28
1027,24,73,28
1028,21,73,29
1029,21,73,29
1030,21,73,29
1031,21,73,29
1032,19,73,29
1033,19,73,29
1034,19,73,29
1035,19,73,29
1036,17,73,29
1037,17,73,29
1038,17,73,29
1039,17,73,29
1040,15,73,29
1041,15,73,29
1042,15,73,29
1043,15,73,29
1044,13,73,29
1045,13,73,29
1046,13,73,29
1047,13,73,29
1048,12,73,29
1049,12,73,29
1050,12,73,29
1051,12,73,29
1052,11,74,29
1053,11,74,29
1054,11,74,29
1055,11,74,29
1056,9,74,30
1057,9,74,30
1058,9,74,30
1059,9,74,30
1060,7,74,31
1061,7,74,31
1062,7,74,31
1063,7,74,31
1064,5,73,30
1065,5,73,30
1066,5,73,30
1067,5,73,30
1068,2,73,29
1069,2,73,29
1070,2,73,29
1071,2,73,29
1072,-1,74,28
