,end_points,13:18:49,3368
731,0.3,-128.0,27.5
732,128.0,-128.0,31.5
733,-128.0,-128.0,30.7
734,-0.1,-128.0,29.6
735,128.0,-128.0,27.3
736,-128.0,-128.0,35.3
737,-3.3,-44.5,33.3
738,-0.4,-128.0,30.3
739,128.0,-128.0,23.0
740,-128.0,-128.0,38.3
741,-5.9,128.0,36.0
742,-0.7,-128.0,30.6
743,128.0,-128.0,32.9
744,-128.0,-128.0,33.0
745,-3.6,-19.9,34.4
746,-0.4,-128.0,31.6
747,128.0,-128.0,27.2
748,-128.0,-128.0,33.7
749,-2.4,10.6,33.1
750,0.2,-128.0,29.2
751,128.0,-128.0,31.3
752,-128.0,-128.0,30.8
753,-2.6,-12.9,32.6
754,0.5,-128.0,29.4
755,128.0,-128.0,32.5
756,-128.0,-128.0,28.2
757,1.8,-128.0,27.4
758,128.0,-128.0,36.2
759,-128.0,-128.0,25.6
760,-0.2,-51.0,31.2
761,2.6,-128.0,28.4
762,128.0,-128.0,40.8
763,-128.0,-128.0,25.8
764,-0.6,-30.5,33.9
765,2.8,-128.0,29.9
766,128.0,-128.0,30.9
767,-128.0,-128.0,31.1
768,0.5,-40.6,31.6
769,1.6,-128.0,30.3
770,128.0,-128.0,28.0
771,-128.0,-128.0,31.4
772,0.3,-21.1,32.6
773,1.7,-128.0,27.3
774,128.0,-128.0,29.3
775,-128.0,-128.0,28.8
776,-2.0,128.0,33.1
777,3.6,-128.0,27.3
778,128.0,-128.0,37.8
779,-128.0,-128.0,22.7
780,2.6,-128.0,29.9
781,128.0,-128.0,30.0
782,-128.0,-128.0,28.3
783,-0.3,-21.1,27.3
784,2.3,-128.0,30.7
785,128.0,-128.0,28.3
786,-128.0,-128.0,31.3
787,0.8,-33.1,28.3
788,1.2,-128.0,31.9
789,128.0,-128.0,33.5
790,-128.0,-128.0,29.2
791,0.6,43.3,34.0
792,-0.4,-128.0,29.0
793,128.0,-128.0,24.7
794,-128.0,-128.0,32.1
795,5.3,128.0,8.4
796,0.9,-128.0,36.0
797,128.0,-128.0,40.5
798,-128.0,-128.0,27.5
799,4.1,128.0,40.0
800,-0.1,-128.0,30.6
801,128.0,-128.0,28.3
802,-128.0,-128.0,39.8
803,-0.8,-128.0,33.1
804,128.0,-128.0,12.5
805,-128.0,-128.0,49.8
806,3.2,35.6,44.5
807,-2.3,-128.0,26.5
808,128.0,-128.0,13.0
809,-128.0,-128.0,44.2
810,10.6,128.0,50.8
811,-3.5,-128.0,24.4
812,128.0,-128.0,25.2
813,-128.0,-128.0,31.8
814,7.1,50.9,35.8
815,-1.3,-128.0,24.6
816,128.0,-128.0,35.9
817,-128.0,-128.0,18.6
818,9.3,128.0,29.9
819,0.4,-128.0,24.4
820,128.0,-128.0,58.8
821,-128.0,-128.0,-2.5
822,10.1,128.0,-3.6
823,6.0,-128.0,33.3
824,128.0,-128.0,52.0
825,-128.0,-128.0,4.8
826,7.6,128.0,6.6
827,5.5,-128.0,30.7
828,128.0,-128.0,39.7
829,-128.0,-128.0,19.3
830,8.6,128.0,22.1
831,5.0,-128.0,30.4
832,128.0,-128.0,33.2
833,-128.0,-128.0,25.8
834,8.6,128.0,30.8
835,3.8,-128.0,28.4
836,128.0,-128.0,23.7
837,-128.0,-128.0,38.3
838,8.7,128.0,36.0
839,2.4,-128.0,30.7
840,128.0,-128.0,13.4
841,-128.0,-128.0,53.2
842,4.6,128.0,44.9
843,1.1,-128.0,33.0
844,128.0,-128.0,-5.2
845,-128.0,-128.0,58.1
846,2.6,-2.1,35.1
847,1.5,-128.0,27.6
848,128.0,-128.0,1.8
849,-128.0,-128.0,49.5
850,2.5,-59.4,26.9
